,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,earliest_cr_line,revol_util,initial_list_status,last_pymnt_d,next_pymnt_d,last_credit_pull_d,application_type,verification_status_joint,sec_app_earliest_cr_line,hardship_flag,hardship_type,hardship_reason,hardship_status,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_loan_status,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date
0, 36 months,7.89%,A,A5,Visual/Audio Tech,1 year,MORTGAGE,Not Verified,Oct-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61360551,,debt_consolidation,Debt consolidation,330xx,FL,Aug-02,49.90%,w,Sep-16,,Aug-20,Individual,,,N,,,,,,,,N,,,
1, 36 months,8.81%,A,A5,Principal ,10+ years,MORTGAGE,Not Verified,Aug-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=156752901,,credit_card,Credit card refinancing,763xx,TX,Dec-09,22.30%,w,Aug-20,Sep-20,Aug-20,Joint App,Not Verified,Sep-04,N,,,,,,,,N,,,
2, 36 months,10.33%,B,B1,GENERAL WAREHOUSE,10+ years,MORTGAGE,Not Verified,Aug-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=156425688,,debt_consolidation,Debt consolidation,461xx,IN,Jun-06,32.90%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
3, 36 months,6.67%,A,A2,Sr Analyst,2 years,RENT,Not Verified,Sep-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=140734816,,debt_consolidation,Debt consolidation,190xx,PA,Nov-05,9.10%,w,Feb-19,,May-19,Individual,,,N,,,,,,,,N,,,
4, 36 months,15.05%,C,C4,Fire Safety Director ,< 1 year,RENT,Source Verified,Oct-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=121326836,,other,Other,112xx,NY,Jun-10,56.10%,w,Nov-17,,Jan-20,Individual,,,N,,,,,,,,N,,,
5, 36 months,19.42%,D,D3,GIS Technician,4 years,MORTGAGE,Verified,Mar-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=130713949,,debt_consolidation,Debt consolidation,666xx,KS,Dec-99,67.50%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
6, 60 months,12.62%,C,C1,Sales Manager,2 years,OWN,Not Verified,Aug-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=115387316,,home_improvement,Home improvement,400xx,KY,Nov-01,3.40%,w,Jul-20,Sep-20,Aug-20,Individual,,,,,,,,,,,N,,,
7, 36 months,20.00%,D,D2,Certified MN Appraiser/Secretary,10+ years,MORTGAGE,Source Verified,May-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=152086739,,major_purchase,Major purchase,564xx,MN,Nov-00,87.10%,w,Jul-19,,Aug-20,Individual,,,N,,,,,,,,N,,,
8, 60 months,19.52%,E,E3,assisstant store manager,2 years,OWN,Source Verified,Apr-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=44115928,,debt_consolidation,Debt consolidation,074xx,NJ,Mar-08,48.10%,f,Jun-16,,Feb-17,Individual,,,N,,,,,,,,N,,,
9, 60 months,10.78%,B,B4,Financial Aid Tech,10+ years,RENT,Not Verified,Dec-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67695362,,debt_consolidation,Debt consolidation,910xx,CA,Jan-94,98.40%,w,Jan-20,,Aug-20,Individual,,,N,,,,,,,,N,,,
10, 36 months,8.46%,A,A5,Line lead,10+ years,MORTGAGE,Source Verified,Oct-18,n,https://lendingclub.com/browse/loanDetail.action?loan_id=142867177,,car,Car financing,228xx,VA,Apr-04,38.20%,w,Sep-19,,Oct-19,Individual,,,N,,,,,,,,N,,,
11, 60 months,14.99%,C,C4,Quality Control Tech,2 years,MORTGAGE,Not Verified,Nov-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=94147812,,debt_consolidation,Debt consolidation,752xx,TX,Jul-00,99.20%,w,Jan-19,,May-19,Individual,,,N,,,,,,,,N,,,
12, 36 months,7.99%,A,A4,Teacher,10+ years,MORTGAGE,Not Verified,Aug-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=87335011,,debt_consolidation,Debt consolidation,790xx,TX,Mar-97,85.10%,w,Sep-17,,Aug-20,Individual,,,N,,,,,,,,N,,,
13, 36 months,11.99%,B,B5,Financial Systems Analyst,2 years,RENT,Source Verified,Jul-17,n,https://lendingclub.com/browse/loanDetail.action?loan_id=113906107,,debt_consolidation,Debt consolidation,021xx,MA,Sep-09,58.50%,w,Jul-19,,Feb-20,Individual,,,N,,,,,,,,N,,,
14, 36 months,11.49%,B,B5,Quality Control Director,3 years,RENT,Source Verified,Sep-16,n,https://lendingclub.com/browse/loanDetail.action?loan_id=88838665,,debt_consolidation,Debt consolidation,926xx,CA,Oct-05,30.40%,f,Feb-20,,Mar-20,Individual,,,N,ST0650PV01,EXCESSOBLI,COMPLETE,Oct-17,Dec-17,Oct-17,INCOLLECTION,N,,,
15, 36 months,7.56%,A,A3,Baker,10+ years,MORTGAGE,Source Verified,Oct-19,n,https://lendingclub.com/browse/loanDetail.action?loan_id=160014639,,credit_card,Credit card refinancing,321xx,FL,Dec-92,41.80%,w,Aug-20,Sep-20,Aug-20,Individual,,,N,,,,,,,,N,,,
16, 36 months,15.41%,D,D1,Medical Assistant,1 year,RENT,Verified,Nov-15,n,https://lendingclub.com/browse/loanDetail.action?loan_id=65704491,,debt_consolidation,Debt consolidation,604xx,IL,Oct-11,28.30%,f,May-17,,Aug-20,Individual,,,N,,,,,,,,N,,,
